Name	Author Type	Article Type	pmid	Journal	Year	Article title	Author affiliation
Shosuke Yoshida	First	Journal Article	26965627	Science	2016	A bacterium that degrades and assimilates poly(ethylene terephthalate).	Department of Applied Biology; Faculty of Textile Science; Kyoto Institute of Technology; Matsugasaki; Sakyo-ku; Kyoto 606-8585; Japan. Department of Biosciences and Informatics; Keio University; 3-14-1 Hiyoshi; Kohoku-ku; Yokohama; Kanagawa 223-8522; Japan.
Kazumi Hiraga	2	Journal Article	26965627	Science	2016	A bacterium that degrades and assimilates poly(ethylene terephthalate).	Department of Applied Biology; Faculty of Textile Science; Kyoto Institute of Technology; Matsugasaki; Sakyo-ku; Kyoto 606-8585; Japan.
Toshihiko Takehana	3	Journal Article	26965627	Science	2016	A bacterium that degrades and assimilates poly(ethylene terephthalate).	Life Science Materials Laboratory; ADEKA; 7-2-34 Higashiogu; Arakawa-ku; Tokyo 116-8553; Japan.
Ikuo Taniguchi	4	Journal Article	26965627	Science	2016	A bacterium that degrades and assimilates poly(ethylene terephthalate).	Department of Polymer Science; Faculty of Textile Science; Kyoto Institute of Technology; Matsugasaki; Sakyo-ku; Kyoto 606-8585; Japan.
Hironao Yamaji	5	Journal Article	26965627	Science	2016	A bacterium that degrades and assimilates poly(ethylene terephthalate).	Department of Applied Biology; Faculty of Textile Science; Kyoto Institute of Technology; Matsugasaki; Sakyo-ku; Kyoto 606-8585; Japan.
Yasuhito Maeda	6	Journal Article	26965627	Science	2016	A bacterium that degrades and assimilates poly(ethylene terephthalate).	Ecology-Related Material Group Innovation Research Institute; Teijin; Hinode-cho 2-1; Iwakuni; Yamaguchi 740-8511; Japan.
Kiyotsuna Toyohara	7	Journal Article	26965627	Science	2016	A bacterium that degrades and assimilates poly(ethylene terephthalate).	Ecology-Related Material Group Innovation Research Institute; Teijin; Hinode-cho 2-1; Iwakuni; Yamaguchi 740-8511; Japan.
Kenji Miyamoto	8	Journal Article	26965627	Science	2016	A bacterium that degrades and assimilates poly(ethylene terephthalate).	Department of Biosciences and Informatics; Keio University; 3-14-1 Hiyoshi; Kohoku-ku; Yokohama; Kanagawa 223-8522; Japan.
Yoshiharu Kimura	9	Journal Article	26965627	Science	2016	A bacterium that degrades and assimilates poly(ethylene terephthalate).	Department of Polymer Science; Faculty of Textile Science; Kyoto Institute of Technology; Matsugasaki; Sakyo-ku; Kyoto 606-8585; Japan.
Kohei Oda	Corresponding	Journal Article	26965627	Science	2016	A bacterium that degrades and assimilates poly(ethylene terephthalate).	Department of Applied Biology; Faculty of Textile Science; Kyoto Institute of Technology; Matsugasaki; Sakyo-ku; Kyoto 606-8585; Japan.
Alexander F Kintzer	First	Journal Article	26961658	Nature	2016	"Structure, inhibition and regulation of two-pore channel TPC1 from Arabidopsis thaliana."	Department of Biochemistry and Biophysics; University of California; San Francisco; California 94158; USA.
Robert M Stroud	Corresponding	Journal Article	26961658	Nature	2016	"Structure, inhibition and regulation of two-pore channel TPC1 from Arabidopsis thaliana."	Department of Biochemistry and Biophysics; University of California; San Francisco; California 94158; USA.
Hidenori Takeuchi	First	Journal Article	26961657	Nature	2016	Tip-localized receptors control pollen tube growth and LURE sensing in Arabidopsis.	Division of Biological Science; Graduate School of Science; Nagoya University; Furo-cho; Chikusa-ku; Nagoya; Aichi 464-8602; Japan.
Tetsuya Higashiyama	Corresponding	Journal Article	26961657	Nature	2016	Tip-localized receptors control pollen tube growth and LURE sensing in Arabidopsis.	Division of Biological Science; Graduate School of Science; Nagoya University; Furo-cho; Chikusa-ku; Nagoya; Aichi 464-8602; Japan.
Jin Wu	First	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Ecology and Evolutionary Biology; University of Arizona; Tucson; AZ 85721; USA. jinwu@email.arizona.edu saleska@email.arizona.edu.
Loren P Albert	2	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Ecology and Evolutionary Biology; University of Arizona; Tucson; AZ 85721; USA.
Aline P Lopes	3	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Brazil's National Institute for Amazon Research (INPA); Manaus; Amazonas; Brazil.
Natalia Restrepo-Coupe	4	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Ecology and Evolutionary Biology; University of Arizona; Tucson; AZ 85721; USA. Plant Functional Biology and Climate Change Cluster; University of Technology Sydney; Sydney; NSW; Australia.
Matthew Hayek	5	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	John A. Paulson School of Engineering and Applied Sciences; Harvard University; Cambridge; MA 02138; USA.
Kenia T Wiedemann	6	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Ecology and Evolutionary Biology; University of Arizona; Tucson; AZ 85721; USA. John A. Paulson School of Engineering and Applied Sciences; Harvard University; Cambridge; MA 02138; USA.
Kaiyu Guan	7	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Natural Resources and Environmental Science; University of Illinois at Urbana Champaign; Urbana; IL 61081; USA. Department of Earth System Science; Stanford University; Stanford; CA 94025; USA.
Scott C Stark	8	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Forestry; Michigan State University; East Lansing; MI 48824; USA.
Bradley Christoffersen	9	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Ecology and Evolutionary Biology; University of Arizona; Tucson; AZ 85721; USA. Earth and Environmental Sciences Division; Los Alamos National Lab; Los Alamos; NM 87545; USA.
Neill Prohaska	10	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Ecology and Evolutionary Biology; University of Arizona; Tucson; AZ 85721; USA.
Julia V Tavares	11	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Brazil's National Institute for Amazon Research (INPA); Manaus; Amazonas; Brazil.
Suelen Marostica	12	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Brazil's National Institute for Amazon Research (INPA); Manaus; Amazonas; Brazil.
