Name	Author Type	Article Type	pmid	Journal	Year	Article title	Author affiliation
Kelton W McMahon	First	Journal Article	26612834	Science	2015	Millennial-scale plankton regime shifts in the subtropical North Pacific Ocean.	Department of Ocean Sciences; University of California-Santa Cruz; Santa Cruz; CA 95064; USA. Institute for Marine Sciences; University of California-Santa Cruz; Santa Cruz; CA 95064; USA.
Matthew D McCarthy	2	Journal Article	26612834	Science	2015	Millennial-scale plankton regime shifts in the subtropical North Pacific Ocean.	Department of Ocean Sciences; University of California-Santa Cruz; Santa Cruz; CA 95064; USA.
Owen A Sherwood	3	Journal Article	26612834	Science	2015	Millennial-scale plankton regime shifts in the subtropical North Pacific Ocean.	Institute of Arctic and Alpine Research; University of Colorado-Boulder; Boulder; CO 80309; USA.
Thomas Larsen	4	Journal Article	26612834	Science	2015	Millennial-scale plankton regime shifts in the subtropical North Pacific Ocean.	Leibniz Laboratory for Radiometric Dating and Stable Isotope Research; Christian-Albrechts-UniversitÃ¤t zu Kiel; 24118 Kiel; Germany.
Thomas P Guilderson	Corresponding	Journal Article	26612834	Science	2015	Millennial-scale plankton regime shifts in the subtropical North Pacific Ocean.	Department of Ocean Sciences; University of California-Santa Cruz; Santa Cruz; CA 95064; USA. Institute for Marine Sciences; University of California-Santa Cruz; Santa Cruz; CA 95064; USA. Lawrence Livermore National Laboratory; Livermore; CA 94550; USA.
Chuan Ku	First	Journal Article	26287458	Nature	2015	Endosymbiotic origin and differential loss of eukaryotic genes.	Institute of Molecular Evolution; Heinrich-Heine University; 40225 DÃ¼sseldorf; Germany.
Shijulal Nelson-Sathi	2	Journal Article	26287458	Nature	2015	Endosymbiotic origin and differential loss of eukaryotic genes.	Institute of Molecular Evolution; Heinrich-Heine University; 40225 DÃ¼sseldorf; Germany.
Mayo Roettger	3	Journal Article	26287458	Nature	2015	Endosymbiotic origin and differential loss of eukaryotic genes.	Institute of Molecular Evolution; Heinrich-Heine University; 40225 DÃ¼sseldorf; Germany.
Filipa L Sousa	4	Journal Article	26287458	Nature	2015	Endosymbiotic origin and differential loss of eukaryotic genes.	Institute of Molecular Evolution; Heinrich-Heine University; 40225 DÃ¼sseldorf; Germany.
Peter J Lockhart	5	Journal Article	26287458	Nature	2015	Endosymbiotic origin and differential loss of eukaryotic genes.	Institute of Fundamental Sciences; Massey University; Palmerston North 4474; New Zealand.
David Bryant	6	Journal Article	26287458	Nature	2015	Endosymbiotic origin and differential loss of eukaryotic genes.	Department of Mathematics and Statistics; University of Otago; Dunedin 9054; New Zealand.
Einat Hazkani-Covo	7	Journal Article	26287458	Nature	2015	Endosymbiotic origin and differential loss of eukaryotic genes.	Department of Natural and Life Sciences; The Open University of Israel; Ra'anana 43107; Israel.
James O McInerney	8	Journal Article	26287458	Nature	2015	Endosymbiotic origin and differential loss of eukaryotic genes.	Department of Biology; National University of Ireland; Maynooth; County Kildare; Ireland.
Giddy Landan	9	Journal Article	26287458	Nature	2015	Endosymbiotic origin and differential loss of eukaryotic genes.	Genomic Microbiology Group; Institute of Microbiology; Christian-Albrechts-University of Kiel; 24118 Kiel; Germany.
William F Martin	Corresponding	Journal Article	26287458	Nature	2015	Endosymbiotic origin and differential loss of eukaryotic genes.	Institute of Molecular Evolution; Heinrich-Heine University; 40225 DÃ¼sseldorf; Germany.
Ryan L Leverenz	First	Journal Article	26113721	Science	2015	PHOTOSYNTHESIS. A 12 Ã carotenoid translocation in a photoswitch associated with cyanobacterial photoprotection.	MSU-DOE Plant Research Laboratory; Michigan State University; East Lansing; MI 48824; USA.
Markus Sutter	2	Journal Article	26113721	Science	2015	PHOTOSYNTHESIS. A 12 Ã carotenoid translocation in a photoswitch associated with cyanobacterial photoprotection.	MSU-DOE Plant Research Laboratory; Michigan State University; East Lansing; MI 48824; USA. Physical Biosciences Division; Lawrence Berkeley National Laboratory; Berkeley; CA 94720; USA.
AdjÃ©lÃ© Wilson	3	Journal Article	26113721	Science	2015	PHOTOSYNTHESIS. A 12 Ã carotenoid translocation in a photoswitch associated with cyanobacterial photoprotection.	Commissariat Ã  l'Energie Atomique (CEA); Institut de Biologie et Technologies de Saclay (iBiTec-S); 91191 Gif-sur-Yvette; France. Centre National de la Recherche Scientifique (CNRS); I2BC; UMR 9198; 91191 Gif-sur-Yvette; France.
Sayan Gupta	4	Journal Article	26113721	Science	2015	PHOTOSYNTHESIS. A 12 Ã carotenoid translocation in a photoswitch associated with cyanobacterial photoprotection.	Berkeley Center for Structural Biology; Physical Biosciences Division; Lawrence Berkeley National Laboratory; Berkeley; CA 94720; USA.
Adrien Thurotte	5	Journal Article	26113721	Science	2015	PHOTOSYNTHESIS. A 12 Ã carotenoid translocation in a photoswitch associated with cyanobacterial photoprotection.	Commissariat Ã  l'Energie Atomique (CEA); Institut de Biologie et Technologies de Saclay (iBiTec-S); 91191 Gif-sur-Yvette; France. Centre National de la Recherche Scientifique (CNRS); I2BC; UMR 9198; 91191 Gif-sur-Yvette; France.
CÃ©line Bourcier de Carbon	6	Journal Article	26113721	Science	2015	PHOTOSYNTHESIS. A 12 Ã carotenoid translocation in a photoswitch associated with cyanobacterial photoprotection.	Commissariat Ã  l'Energie Atomique (CEA); Institut de Biologie et Technologies de Saclay (iBiTec-S); 91191 Gif-sur-Yvette; France. Centre National de la Recherche Scientifique (CNRS); I2BC; UMR 9198; 91191 Gif-sur-Yvette; France.
Christopher J Petzold	7	Journal Article	26113721	Science	2015	PHOTOSYNTHESIS. A 12 Ã carotenoid translocation in a photoswitch associated with cyanobacterial photoprotection.	Physical Biosciences Division; Lawrence Berkeley National Laboratory; Berkeley; CA 94720; USA.
Corie Ralston	8	Journal Article	26113721	Science	2015	PHOTOSYNTHESIS. A 12 Ã carotenoid translocation in a photoswitch associated with cyanobacterial photoprotection.	Berkeley Center for Structural Biology; Physical Biosciences Division; Lawrence Berkeley National Laboratory; Berkeley; CA 94720; USA.
FranÃ§ois Perreau	9	Journal Article	26113721	Science	2015	PHOTOSYNTHESIS. A 12 Ã carotenoid translocation in a photoswitch associated with cyanobacterial photoprotection.	INRA; Institut Jean-Pierre Bourgin; UMR 1318; ERL CNRS 3559; Saclay Plant Sciences; RD10; F-78026 Versailles; France.
Diana Kirilovsky	10	Journal Article	26113721	Science	2015	PHOTOSYNTHESIS. A 12 Ã carotenoid translocation in a photoswitch associated with cyanobacterial photoprotection.	Commissariat Ã  l'Energie Atomique (CEA); Institut de Biologie et Technologies de Saclay (iBiTec-S); 91191 Gif-sur-Yvette; France. Centre National de la Recherche Scientifique (CNRS); I2BC; UMR 9198; 91191 Gif-sur-Yvette; France.
Cheryl A Kerfeld	Corresponding	Journal Article	26113721	Science	2015	PHOTOSYNTHESIS. A 12 Ã carotenoid translocation in a photoswitch associated with cyanobacterial photoprotection.	MSU-DOE Plant Research Laboratory; Michigan State University; East Lansing; MI 48824; USA. Physical Biosciences Division; Lawrence Berkeley National Laboratory; Berkeley; CA 94720; USA. Department of Plant and Microbial Biology; University of California; Berkeley; CA 94720; USA. ckerfeld@lbl.gov.
