Name	Author Type	Article Type	pmid	Journal	Year	Article title	Author affiliation
M A Siegler	First	Journal Article	27008966	Nature	2016	Lunar true polar wander inferred from polar hydrogen.	Planetary Science Institute; Tucson; Arizona 85719; USA.
R S Miller	2	Journal Article	27008966	Nature	2016	Lunar true polar wander inferred from polar hydrogen.	University of Alabama in Huntsville; Huntsville; Alabama 35899; USA.
J T Keane	3	Journal Article	27008966	Nature	2016	Lunar true polar wander inferred from polar hydrogen.	Lunar and Planetary Laboratory; University of Arizona; Tucson; Arizona 85721; USA.
M Laneuville	4	Journal Article	27008966	Nature	2016	Lunar true polar wander inferred from polar hydrogen.	Earth Life Sciences Institute; Tokyo Institute of Technology; Meguro; Tokyo 152-8551; Japan.
D A Paige	5	Journal Article	27008966	Nature	2016	Lunar true polar wander inferred from polar hydrogen.	University of California; Los Angeles; California 90095; USA.
I Matsuyama	6	Journal Article	27008966	Nature	2016	Lunar true polar wander inferred from polar hydrogen.	Lunar and Planetary Laboratory; University of Arizona; Tucson; Arizona 85721; USA.
D J Lawrence	7	Journal Article	27008966	Nature	2016	Lunar true polar wander inferred from polar hydrogen.	The Johns Hopkins University Applied Physics Laboratory; Laurel; Maryland 20723; USA.
A Crotts	8	Journal Article	27008966	Nature	2016	Lunar true polar wander inferred from polar hydrogen.	Columbia University; New York; New York 10027; USA.
M J Poston	Corresponding	Journal Article	27008966	Nature	2016	Lunar true polar wander inferred from polar hydrogen.	California Institute of Technology; Pasadena; California 91125; USA.
H A Weaver	First	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Johns Hopkins University Applied Physics Laboratory; Laurel; MD 20723; USA. hal.weaver@jhuapl.edu.
M W Buie	2	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Southwest Research Institute; Boulder; CO 80302; USA.
B J Buratti	3	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	NASA Jet Propulsion Laboratory; California Institute of Technology; Pasadena; CA 91109; USA.
W M Grundy	4	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Lowell Observatory; Flagstaff; AZ 86001; USA.
T R Lauer	5	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	National Optical Astronomy Observatory; Tucson; AZ 26732; USA.
C B Olkin	6	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Southwest Research Institute; Boulder; CO 80302; USA.
A H Parker	7	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Southwest Research Institute; Boulder; CO 80302; USA.
S B Porter	8	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Southwest Research Institute; Boulder; CO 80302; USA.
M R Showalter	9	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	SETI Institute; Mountain View; CA 94043; USA.
J R Spencer	10	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Southwest Research Institute; Boulder; CO 80302; USA.
S A Stern	11	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Southwest Research Institute; Boulder; CO 80302; USA.
A J Verbiscer	12	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Department of Astronomy; University of Virginia; Charlottesville; VA 22904; USA.
W B McKinnon	13	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Department of Earth and Planetary Sciences; Washington University; St. Louis; MO 63130; USA.
J M Moore	14	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Space Science Division; NASA Ames Research Center; Moffett Field; CA 94035; USA.
S J Robbins	15	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Southwest Research Institute; Boulder; CO 80302; USA.
P Schenk	16	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Lunar and Planetary Institute; Houston; TX 77058; USA.
K N Singer	17	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Southwest Research Institute; Boulder; CO 80302; USA.
O S Barnouin	18	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Johns Hopkins University Applied Physics Laboratory; Laurel; MD 20723; USA.
A F Cheng	19	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Johns Hopkins University Applied Physics Laboratory; Laurel; MD 20723; USA.
C M Ernst	20	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Johns Hopkins University Applied Physics Laboratory; Laurel; MD 20723; USA.
C M Lisse	21	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Johns Hopkins University Applied Physics Laboratory; Laurel; MD 20723; USA.
D E Jennings	22	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	NASA Goddard Space Flight Center; Greenbelt; MD 20771; USA.
A W Lunsford	23	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	NASA Goddard Space Flight Center; Greenbelt; MD 20771; USA.
D C Reuter	24	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	NASA Goddard Space Flight Center; Greenbelt; MD 20771; USA.
D P Hamilton	25	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Department of Astronomy; University of Maryland; College Park; MD 20742; USA.
D E Kaufmann	26	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Southwest Research Institute; Boulder; CO 80302; USA.
K Ennico	27	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Space Science Division; NASA Ames Research Center; Moffett Field; CA 94035; USA.
L A Young	28	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Southwest Research Institute; Boulder; CO 80302; USA.
R A Beyer	29	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	SETI Institute; Mountain View; CA 94043; USA. Space Science Division; NASA Ames Research Center; Moffett Field; CA 94035; USA.
