Name	Author Type	Article Type	pmid	Journal	Year	Article title	Author affiliation
Oswaldo ValdÃ©s-LÃ³pez	First	Journal Article	27200004	Front Plant Sci	2016	Soybean Roots Grown under Heat Stress Show Global Changes in Their Transcriptional and Proteomic Profiles.	Division of Plant Sciences and Biochemistry; National Center for Soybean Biotechnology; C.S. Bond Life Sciences Center; University of MissouriColumbia; MO; USA; Laboratorio de GenÃ³mica Funcional de Leguminosas; FES Iztacala Universidad Nacional AutÃ³noma de MÃ©xicoMÃ©xico; Mexico.
Josef Batek	2	Journal Article	27200004	Front Plant Sci	2016	Soybean Roots Grown under Heat Stress Show Global Changes in Their Transcriptional and Proteomic Profiles.	Division of Plant Sciences and Biochemistry; National Center for Soybean Biotechnology; C.S. Bond Life Sciences Center; University of Missouri Columbia; MO; USA.
Nicolas Gomez-Hernandez	3	Journal Article	27200004	Front Plant Sci	2016	Soybean Roots Grown under Heat Stress Show Global Changes in Their Transcriptional and Proteomic Profiles.	Division of Plant Sciences and Biochemistry; National Center for Soybean Biotechnology; C.S. Bond Life Sciences Center; University of Missouri Columbia; MO; USA.
Cuong T Nguyen	4	Journal Article	27200004	Front Plant Sci	2016	Soybean Roots Grown under Heat Stress Show Global Changes in Their Transcriptional and Proteomic Profiles.	Division of Plant Sciences and Biochemistry; National Center for Soybean Biotechnology; C.S. Bond Life Sciences Center; University of Missouri Columbia; MO; USA.
Mariel C Isidra-Arellano	5	Journal Article	27200004	Front Plant Sci	2016	Soybean Roots Grown under Heat Stress Show Global Changes in Their Transcriptional and Proteomic Profiles.	Laboratorio de GenÃ³mica Funcional de Leguminosas; FES Iztacala Universidad Nacional AutÃ³noma de MÃ©xico MÃ©xico; Mexico.
Ning Zhang	6	Journal Article	27200004	Front Plant Sci	2016	Soybean Roots Grown under Heat Stress Show Global Changes in Their Transcriptional and Proteomic Profiles.	C.S. Bond Life Sciences Center; Informatics Institute; University of Missouri Columbia; MO; USA.
Trupti Joshi	7	Journal Article	27200004	Front Plant Sci	2016	Soybean Roots Grown under Heat Stress Show Global Changes in Their Transcriptional and Proteomic Profiles.	C.S. Bond Life Sciences Center; Informatics Institute; University of MissouriColumbia; MO; USA; Department of Computer Science; University of MissouriColumbia; MO; USA; Department of Molecular Microbiology and Immunology and Office of Research; School of Medicine; University of MissouriColumbia; MO; USA.
Dong Xu	8	Journal Article	27200004	Front Plant Sci	2016	Soybean Roots Grown under Heat Stress Show Global Changes in Their Transcriptional and Proteomic Profiles.	C.S. Bond Life Sciences Center; Informatics Institute; University of MissouriColumbia; MO; USA; Department of Computer Science; University of MissouriColumbia; MO; USA.
Kim K Hixson	9	Journal Article	27200004	Front Plant Sci	2016	Soybean Roots Grown under Heat Stress Show Global Changes in Their Transcriptional and Proteomic Profiles.	Environmental Molecular Sciences Laboratory; Pacific Northwest National Laboratory Richland; WA; USA.
Karl K Weitz	10	Journal Article	27200004	Front Plant Sci	2016	Soybean Roots Grown under Heat Stress Show Global Changes in Their Transcriptional and Proteomic Profiles.	Environmental Molecular Sciences Laboratory; Pacific Northwest National Laboratory Richland; WA; USA.
