Name	Author Type	Article Type	pmid	Journal	Year	Article title	Author affiliation
Idan Efroni	First	Journal Article	27212234	Cell	2016	Root Regeneration Triggers an Embryo-like Sequence Guided by Hormonal Interactions.	Center for Genomics and Systems Biology; Department of Biology; New York University; New York; NY 10003; USA.
Alison Mello	2	Journal Article	27212234	Cell	2016	Root Regeneration Triggers an Embryo-like Sequence Guided by Hormonal Interactions.	Center for Genomics and Systems Biology; Department of Biology; New York University; New York; NY 10003; USA.
Tal Nawy	3	Journal Article	27212234	Cell	2016	Root Regeneration Triggers an Embryo-like Sequence Guided by Hormonal Interactions.	Center for Genomics and Systems Biology; Department of Biology; New York University; New York; NY 10003; USA.
Pui-Leng Ip	4	Journal Article	27212234	Cell	2016	Root Regeneration Triggers an Embryo-like Sequence Guided by Hormonal Interactions.	Center for Genomics and Systems Biology; Department of Biology; New York University; New York; NY 10003; USA.
Ramin Rahni	5	Journal Article	27212234	Cell	2016	Root Regeneration Triggers an Embryo-like Sequence Guided by Hormonal Interactions.	Center for Genomics and Systems Biology; Department of Biology; New York University; New York; NY 10003; USA.
Nicholas DelRose	6	Journal Article	27212234	Cell	2016	Root Regeneration Triggers an Embryo-like Sequence Guided by Hormonal Interactions.	Center for Genomics and Systems Biology; Department of Biology; New York University; New York; NY 10003; USA.
Ashley Powers	7	Journal Article	27212234	Cell	2016	Root Regeneration Triggers an Embryo-like Sequence Guided by Hormonal Interactions.	New York Genome Center; New York; NY 10013; USA.
Rahul Satija	8	Journal Article	27212234	Cell	2016	Root Regeneration Triggers an Embryo-like Sequence Guided by Hormonal Interactions.	Center for Genomics and Systems Biology; Department of Biology; New York University; New York; NY 10003; USA; New York Genome Center; New York; NY 10013; USA.
Kenneth D Birnbaum	Corresponding	Journal Article	27212234	Cell	2016	Root Regeneration Triggers an Embryo-like Sequence Guided by Hormonal Interactions.	Center for Genomics and Systems Biology; Department of Biology; New York University; New York; NY 10003; USA. Electronic address: ken.birnbaum@nyu.edu.
Wei Xuan	First	Journal Article	26798015	Science	2016	Cyclic programmed cell death stimulates hormone signaling and root development in Arabidopsis.	Department of Plant Systems Biology; Vlaams Instituut voor Biotechnologie (VIB); Technologiepark 927; 9052 Ghent; Belgium. Department of Plant Biotechnology and Bioinformatics; Gent University; Technologiepark 927; 9052 Ghent; Belgium. State Key Laboratory of Crop Genetics and Germplasm Enhancement and MOA Key Laboratory of Plant Nutrition and Fertilization in Lower-Middle Reaches of the Yangtze River; Nanjing Agricultural University; Weigang No. 1; Nanjing 210095; PR China.
Leah R Band	2	Journal Article	26798015	Science	2016	Cyclic programmed cell death stimulates hormone signaling and root development in Arabidopsis.	Centre for Plant Integrative Biology; University of Nottingham; Nottingham LE12 5RD; UK.
Robert P Kumpf	3	Journal Article	26798015	Science	2016	Cyclic programmed cell death stimulates hormone signaling and root development in Arabidopsis.	Department of Plant Systems Biology; Vlaams Instituut voor Biotechnologie (VIB); Technologiepark 927; 9052 Ghent; Belgium. Department of Plant Biotechnology and Bioinformatics; Gent University; Technologiepark 927; 9052 Ghent; Belgium.
DaniÃ«l Van Damme	4	Journal Article	26798015	Science	2016	Cyclic programmed cell death stimulates hormone signaling and root development in Arabidopsis.	Department of Plant Systems Biology; Vlaams Instituut voor Biotechnologie (VIB); Technologiepark 927; 9052 Ghent; Belgium. Department of Plant Biotechnology and Bioinformatics; Gent University; Technologiepark 927; 9052 Ghent; Belgium.
Boris Parizot	5	Journal Article	26798015	Science	2016	Cyclic programmed cell death stimulates hormone signaling and root development in Arabidopsis.	Department of Plant Systems Biology; Vlaams Instituut voor Biotechnologie (VIB); Technologiepark 927; 9052 Ghent; Belgium. Department of Plant Biotechnology and Bioinformatics; Gent University; Technologiepark 927; 9052 Ghent; Belgium.
Gieljan De Rop	6	Journal Article	26798015	Science	2016	Cyclic programmed cell death stimulates hormone signaling and root development in Arabidopsis.	Department of Plant Systems Biology; Vlaams Instituut voor Biotechnologie (VIB); Technologiepark 927; 9052 Ghent; Belgium. Department of Plant Biotechnology and Bioinformatics; Gent University; Technologiepark 927; 9052 Ghent; Belgium.
Davy Opdenacker	7	Journal Article	26798015	Science	2016	Cyclic programmed cell death stimulates hormone signaling and root development in Arabidopsis.	Department of Plant Systems Biology; Vlaams Instituut voor Biotechnologie (VIB); Technologiepark 927; 9052 Ghent; Belgium. Department of Plant Biotechnology and Bioinformatics; Gent University; Technologiepark 927; 9052 Ghent; Belgium.
Barbara K MÃ¶ller	8	Journal Article	26798015	Science	2016	Cyclic programmed cell death stimulates hormone signaling and root development in Arabidopsis.	Department of Plant Systems Biology; Vlaams Instituut voor Biotechnologie (VIB); Technologiepark 927; 9052 Ghent; Belgium. Department of Plant Biotechnology and Bioinformatics; Gent University; Technologiepark 927; 9052 Ghent; Belgium.
Noemi Skorzinski	9	Journal Article	26798015	Science	2016	Cyclic programmed cell death stimulates hormone signaling and root development in Arabidopsis.	Max Planck Institute for Developmental Biology; Spemannstrasse 35; 72076 TÃ¼bingen; Germany.
Maria F Njo	10	Journal Article	26798015	Science	2016	Cyclic programmed cell death stimulates hormone signaling and root development in Arabidopsis.	Department of Plant Systems Biology; Vlaams Instituut voor Biotechnologie (VIB); Technologiepark 927; 9052 Ghent; Belgium. Department of Plant Biotechnology and Bioinformatics; Gent University; Technologiepark 927; 9052 Ghent; Belgium.
Bert De Rybel	11	Journal Article	26798015	Science	2016	Cyclic programmed cell death stimulates hormone signaling and root development in Arabidopsis.	Department of Plant Systems Biology; Vlaams Instituut voor Biotechnologie (VIB); Technologiepark 927; 9052 Ghent; Belgium. Department of Plant Biotechnology and Bioinformatics; Gent University; Technologiepark 927; 9052 Ghent; Belgium. Laboratory of Biochemistry; Wageningen University; Dreijenlaan 3; 6703HA Wageningen; Netherlands.
Dominique Audenaert	12	Journal Article	26798015	Science	2016	Cyclic programmed cell death stimulates hormone signaling and root development in Arabidopsis.	Department of Plant Systems Biology; Vlaams Instituut voor Biotechnologie (VIB); Technologiepark 927; 9052 Ghent; Belgium. Department of Plant Biotechnology and Bioinformatics; Gent University; Technologiepark 927; 9052 Ghent; Belgium.
Moritz K Nowack	13	Journal Article	26798015	Science	2016	Cyclic programmed cell death stimulates hormone signaling and root development in Arabidopsis.	Department of Plant Systems Biology; Vlaams Instituut voor Biotechnologie (VIB); Technologiepark 927; 9052 Ghent; Belgium. Department of Plant Biotechnology and Bioinformatics; Gent University; Technologiepark 927; 9052 Ghent; Belgium.
Steffen Vanneste	14	Journal Article	26798015	Science	2016	Cyclic programmed cell death stimulates hormone signaling and root development in Arabidopsis.	Department of Plant Systems Biology; Vlaams Instituut voor Biotechnologie (VIB); Technologiepark 927; 9052 Ghent; Belgium. Department of Plant Biotechnology and Bioinformatics; Gent University; Technologiepark 927; 9052 Ghent; Belgium.
