Name	Author Type	Article Type	pmid	Journal	Year	Article title	Author affiliation
L K Wilhelmi	First	Journal Article	8929415	Science	1996	Self-sterility in Arabidopsis due to defective pollen tube guidance.	Department of Molecular Genetics and Cell Biology; University of Chicago; Chicago; IL 60637; USA. dpreuss@midway.uchicago.edu
D Preuss	Corresponding	Journal Article	8929415	Science	1996	Self-sterility in Arabidopsis due to defective pollen tube guidance.	Department of Molecular Genetics and Cell Biology; University of Chicago; Chicago; IL 60637; USA. dpreuss@midway.uchicago.edu
D A Parsell	First	Journal Article	7984243	Nature	1994	Protein disaggregation mediated by heat-shock protein Hsp104.	Department of Molecular Genetics and Cell Biology; Howard Hughes Medical Institute; University of Chicago; Illinois 60637.
A S Kowal	2	Journal Article	7984243	Nature	1994	Protein disaggregation mediated by heat-shock protein Hsp104.	Department of Molecular Genetics and Cell Biology; Howard Hughes Medical Institute; University of Chicago; Illinois 60637.
M A Singer	3	Journal Article	7984243	Nature	1994	Protein disaggregation mediated by heat-shock protein Hsp104.	Department of Molecular Genetics and Cell Biology; Howard Hughes Medical Institute; University of Chicago; Illinois 60637.
S Lindquist	Corresponding	Journal Article	7984243	Nature	1994	Protein disaggregation mediated by heat-shock protein Hsp104.	Department of Molecular Genetics and Cell Biology; Howard Hughes Medical Institute; University of Chicago; Illinois 60637.
Talia L Karasov	First	Journal Article	25043057	Nature	2014	The long-term maintenance of a resistance polymorphism through diffuse interactions.	1] Department of Ecology and Evolution; University of Chicago; Chicago; Illinois 60637; USA [2] Committee on Genetics Genomics and Systems Biology; University of Chicago; Chicago; Illinois 60637; USA [3].
Joel M Kniskern	2	Journal Article	25043057	Nature	2014	The long-term maintenance of a resistance polymorphism through diffuse interactions.	1] Department of Ecology and Evolution; University of Chicago; Chicago; Illinois 60637; USA [2] Monsanto Vegetable Seeds; 37437 State Highway 16; Woodland; California 95695; USA (J.M.K.); State Key Laboratory of Plant Genetics and Germplasm Enhancement and College of Horticulture; Nanjing Agricultural University; Nanjing; China (J.D.); CSIRO Plant Industry; GPO Box 1600; Canberra; ACT 2601; Australia (L.G.B.). [3].
Liping Gao	3	Journal Article	25043057	Nature	2014	The long-term maintenance of a resistance polymorphism through diffuse interactions.	Department of Ecology and Evolution; University of Chicago; Chicago; Illinois 60637; USA.
Brody J DeYoung	4	Journal Article	25043057	Nature	2014	The long-term maintenance of a resistance polymorphism through diffuse interactions.	Department of Biology; Indiana University; Bloomington; Indiana 47405; USA.
Jing Ding	5	Journal Article	25043057	Nature	2014	The long-term maintenance of a resistance polymorphism through diffuse interactions.	1] Department of Ecology and Evolution; University of Chicago; Chicago; Illinois 60637; USA [2] Monsanto Vegetable Seeds; 37437 State Highway 16; Woodland; California 95695; USA (J.M.K.); State Key Laboratory of Plant Genetics and Germplasm Enhancement and College of Horticulture; Nanjing Agricultural University; Nanjing; China (J.D.); CSIRO Plant Industry; GPO Box 1600; Canberra; ACT 2601; Australia (L.G.B.).
