Name	Author Type	Article Type	pmid	Journal	Year	Article title	Author affiliation
Sihem Cheloufi	First	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Department of Molecular Biology; Cancer Center and Center for Regenerative Medicine; Massachusetts General Hospital; Boston; Massachusetts 02114; USA.
Ulrich Elling	2	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Institute of Molecular Biotechnology of the Austrian Academy of Sciences (IMBA); Vienna Biocenter (VBC); A-1030 Vienna; Austria.
Barbara Hopfgartner	3	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Research Institute of Molecular Pathology (IMP); Vienna Biocenter (VBC); A-1030 Vienna; Austria.
Youngsook L Jung	4	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Department of Biomedical Informatics; Harvard Medical School; Boston; Massachusetts 02115; USA.
Jernej Murn	5	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Department of Cell Biology; Harvard Medical School; Boston; Massachusetts 02115; USA.
Maria Ninova	6	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	California Institute of Technology; Division of Biology and Biological Engineering; Pasadena; California 91125; USA.
Maria Hubmann	7	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Institute of Molecular Biotechnology of the Austrian Academy of Sciences (IMBA); Vienna Biocenter (VBC); A-1030 Vienna; Austria.
Aimee I Badeaux	8	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Department of Cell Biology; Harvard Medical School; Boston; Massachusetts 02115; USA.
Cheen Euong Ang	9	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Institute for Stem Cell Biology and Regenerative Medicine; Department of Pathology and Department of Bioengineering; Stanford University; Stanford; California 94305; USA.
Danielle Tenen	10	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Department of Stem Cell and Regenerative Biology and Harvard Stem Cell Institute; Cambridge; Massachusetts 02138; USA.
Daniel J Wesche	11	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Department of Molecular Biology; Cancer Center and Center for Regenerative Medicine; Massachusetts General Hospital; Boston; Massachusetts 02114; USA.
Nadezhda Abazova	12	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Department of Molecular Biology; Cancer Center and Center for Regenerative Medicine; Massachusetts General Hospital; Boston; Massachusetts 02114; USA.
Max Hogue	13	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Department of Molecular Biology; Cancer Center and Center for Regenerative Medicine; Massachusetts General Hospital; Boston; Massachusetts 02114; USA.
Nilgun Tasdemir	14	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Memorial Sloan Kettering Cancer Center; New York; New York 10065; USA.
Justin Brumbaugh	15	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Department of Molecular Biology; Cancer Center and Center for Regenerative Medicine; Massachusetts General Hospital; Boston; Massachusetts 02114; USA.
Philipp Rathert	16	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Research Institute of Molecular Pathology (IMP); Vienna Biocenter (VBC); A-1030 Vienna; Austria.
Julian Jude	17	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Research Institute of Molecular Pathology (IMP); Vienna Biocenter (VBC); A-1030 Vienna; Austria.
Francesco Ferrari	18	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Department of Biomedical Informatics; Harvard Medical School; Boston; Massachusetts 02115; USA.
Andres Blanco	19	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Department of Cell Biology; Harvard Medical School; Boston; Massachusetts 02115; USA.
Michaela Fellner	20	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Research Institute of Molecular Pathology (IMP); Vienna Biocenter (VBC); A-1030 Vienna; Austria.
Daniel Wenzel	21	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Institute of Molecular Biotechnology of the Austrian Academy of Sciences (IMBA); Vienna Biocenter (VBC); A-1030 Vienna; Austria.
Marietta Zinner	22	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Institute of Molecular Biotechnology of the Austrian Academy of Sciences (IMBA); Vienna Biocenter (VBC); A-1030 Vienna; Austria.
Simon E Vidal	23	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	The Helen L. and Martin S. Kimmel Center for Biology and Medicine; Skirball Institute of Biomolecular Medicine; Department of Cell Biology; NYU School of Medicine; New York; New York 10016; USA.
Oliver Bell	24	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Institute of Molecular Biotechnology of the Austrian Academy of Sciences (IMBA); Vienna Biocenter (VBC); A-1030 Vienna; Austria.
Matthias Stadtfeld	25	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	The Helen L. and Martin S. Kimmel Center for Biology and Medicine; Skirball Institute of Biomolecular Medicine; Department of Cell Biology; NYU School of Medicine; New York; New York 10016; USA.
Howard Y Chang	26	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Howard Hughes Medical Institute; Chevy Chase; Maryland 20815; USA.
Genevieve Almouzni	27	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Centre de Recherche; Institut Curie; 75248 Paris; France.
Scott W Lowe	28	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Howard Hughes Medical Institute; Chevy Chase; Maryland 20815; USA.
John Rinn	29	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Department of Stem Cell and Regenerative Biology and Harvard Stem Cell Institute; Cambridge; Massachusetts 02138; USA.
Marius Wernig	30	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Institute for Stem Cell Biology and Regenerative Medicine; Department of Pathology and Department of Bioengineering; Stanford University; Stanford; California 94305; USA.
Alexei Aravin	31	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	California Institute of Technology; Division of Biology and Biological Engineering; Pasadena; California 91125; USA.
Yang Shi	32	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Department of Cell Biology; Harvard Medical School; Boston; Massachusetts 02115; USA.
Peter J Park	33	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Department of Biomedical Informatics; Harvard Medical School; Boston; Massachusetts 02115; USA.
Josef M Penninger	34	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Institute of Molecular Biotechnology of the Austrian Academy of Sciences (IMBA); Vienna Biocenter (VBC); A-1030 Vienna; Austria.
Johannes Zuber	35	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Research Institute of Molecular Pathology (IMP); Vienna Biocenter (VBC); A-1030 Vienna; Austria.
Konrad Hochedlinger	Corresponding	Journal Article	26659182	Nature	2015	The histone chaperone CAF-1 safeguards somatic cell identity.	Department of Molecular Biology; Cancer Center and Center for Regenerative Medicine; Massachusetts General Hospital; Boston; Massachusetts 02114; USA.
Bin Xia Yang	First	Journal Article	26365490	Cell	2015	Systematic identification of factors for provirus silencing in embryonic stem cells.	Epigenetics and Cell Fates Laboratory; A(â)STAR Institute of Molecular and Cell Biology; 61 Biopolis Drive Proteos; Singapore 138673; Singapore.
Chadi A El Farran	2	Journal Article	26365490	Cell	2015	Systematic identification of factors for provirus silencing in embryonic stem cells.	Epigenetics and Cell Fates Laboratory; A(â)STAR Institute of Molecular and Cell Biology; 61 Biopolis Drive Proteos; Singapore 138673; Singapore; Department of Biological Sciences; National University of Singapore; Singapore 117543; Singapore.
Hong Chao Guo	3	Journal Article	26365490	Cell	2015	Systematic identification of factors for provirus silencing in embryonic stem cells.	College of Life Sciences; Nankai University; Tianjin 300071; China.
Tao Yu	4	Journal Article	26365490	Cell	2015	Systematic identification of factors for provirus silencing in embryonic stem cells.	Epigenetics and Cell Fates Laboratory; A(â)STAR Institute of Molecular and Cell Biology; 61 Biopolis Drive Proteos; Singapore 138673; Singapore; Department of Biological Sciences; National University of Singapore; Singapore 117543; Singapore.
Hai Tong Fang	5	Journal Article	26365490	Cell	2015	Systematic identification of factors for provirus silencing in embryonic stem cells.	Epigenetics and Cell Fates Laboratory; A(â)STAR Institute of Molecular and Cell Biology; 61 Biopolis Drive Proteos; Singapore 138673; Singapore.
Hao Fei Wang	6	Journal Article	26365490	Cell	2015	Systematic identification of factors for provirus silencing in embryonic stem cells.	Epigenetics and Cell Fates Laboratory; A(â)STAR Institute of Molecular and Cell Biology; 61 Biopolis Drive Proteos; Singapore 138673; Singapore; Department of Biological Sciences; National University of Singapore; Singapore 117543; Singapore.
