Name	Author Type	Article Type	pmid	Journal	Year	Article title	Author affiliation
Nicholas D Bonawitz	First	Journal Article	24670657	Nature	2014	Disruption of Mediator rescues the stunted growth of a lignin-deficient Arabidopsis mutant.	1] Department of Biochemistry; Purdue University; West Lafayette; Indiana 47907; USA [2] Dow AgroSciences LLC; 9330 Zionsville Road; Indianapolis; Indiana 46268; USA (N.D.B.); Department of Agronomy; University of Wisconsin-Madison; 1575 Linden Drive; Madison; Wisconsin 53706; USA (J.M.).
Jeong Im Kim	2	Journal Article	24670657	Nature	2014	Disruption of Mediator rescues the stunted growth of a lignin-deficient Arabidopsis mutant.	Department of Biochemistry; Purdue University; West Lafayette; Indiana 47907; USA.
Yuki Tobimatsu	3	Journal Article	24670657	Nature	2014	Disruption of Mediator rescues the stunted growth of a lignin-deficient Arabidopsis mutant.	Department of Biochemistry; University of Wisconsin-Madison; Madison; Wisconsin 53706; USA.
Peter N Ciesielski	4	Journal Article	24670657	Nature	2014	Disruption of Mediator rescues the stunted growth of a lignin-deficient Arabidopsis mutant.	Biosciences Center; National Renewable Energy Laboratory; Golden; Colorado 80401; USA.
Nickolas A Anderson	5	Journal Article	24670657	Nature	2014	Disruption of Mediator rescues the stunted growth of a lignin-deficient Arabidopsis mutant.	Department of Biochemistry; Purdue University; West Lafayette; Indiana 47907; USA.
Eduardo Ximenes	6	Journal Article	24670657	Nature	2014	Disruption of Mediator rescues the stunted growth of a lignin-deficient Arabidopsis mutant.	Department of Agricultural and Biological Engineering and the Laboratory of Renewable Resources Engineering; Purdue University; West Lafayette; Indiana 47907; USA.
Junko Maeda	7	Journal Article	24670657	Nature	2014	Disruption of Mediator rescues the stunted growth of a lignin-deficient Arabidopsis mutant.	1] Department of Biochemistry; Purdue University; West Lafayette; Indiana 47907; USA [2] Dow AgroSciences LLC; 9330 Zionsville Road; Indianapolis; Indiana 46268; USA (N.D.B.); Department of Agronomy; University of Wisconsin-Madison; 1575 Linden Drive; Madison; Wisconsin 53706; USA (J.M.).
John Ralph	8	Journal Article	24670657	Nature	2014	Disruption of Mediator rescues the stunted growth of a lignin-deficient Arabidopsis mutant.	1] Department of Biochemistry; University of Wisconsin-Madison; Madison; Wisconsin 53706; USA [2] Department of Biological Systems Engineering; University of Wisconsin-Madison; Madison; Wisconsin 53706; USA [3] DOE Great Lakes Bioenergy Research Center; and Wisconsin Energy Institute; University of Wisconsin-Madison; Madison; Wisconsin 53726; USA.
Bryon S Donohoe	9	Journal Article	24670657	Nature	2014	Disruption of Mediator rescues the stunted growth of a lignin-deficient Arabidopsis mutant.	Biosciences Center; National Renewable Energy Laboratory; Golden; Colorado 80401; USA.
Michael Ladisch	10	Journal Article	24670657	Nature	2014	Disruption of Mediator rescues the stunted growth of a lignin-deficient Arabidopsis mutant.	1] Department of Agricultural and Biological Engineering and the Laboratory of Renewable Resources Engineering; Purdue University; West Lafayette; Indiana 47907; USA [2] Weldon School of Biomedical Engineering; Purdue University; West Lafayette; Indiana 47907; USA.
Clint Chapple	Corresponding	Journal Article	24670657	Nature	2014	Disruption of Mediator rescues the stunted growth of a lignin-deficient Arabidopsis mutant.	Department of Biochemistry; Purdue University; West Lafayette; Indiana 47907; USA.
Jing-Ke Weng	First	Journal Article	22923580	Science	2012	Assembly of an evolutionarily new pathway for Î±-pyrone biosynthesis in Arabidopsis.	Department of Biochemistry; Purdue University; West Lafayette; IN 47907; USA.
Yi Li	2	Journal Article	22923580	Science	2012	Assembly of an evolutionarily new pathway for Î±-pyrone biosynthesis in Arabidopsis.	Department of Biochemistry; Purdue University; West Lafayette; IN 47907; USA.
Huaping Mo	3	Journal Article	22923580	Science	2012	Assembly of an evolutionarily new pathway for Î±-pyrone biosynthesis in Arabidopsis.	Department of Biochemistry; Purdue University; West Lafayette; IN 47907; USA.
Clint Chapple	Corresponding	Journal Article	22923580	Science	2012	Assembly of an evolutionarily new pathway for Î±-pyrone biosynthesis in Arabidopsis.	Department of Biochemistry; Purdue University; West Lafayette; IN 47907; USA.
Susan J Lolle	First	Journal Article	15785770	Nature	2005	Genome-wide non-mendelian inheritance of extra-genomic information in Arabidopsis.	Department of Botany and Plant Pathology; Purdue University; 915 W. State Street; West Lafayette; Indiana 47907-2054; USA.
Jennifer L Victor	2	Journal Article	15785770	Nature	2005	Genome-wide non-mendelian inheritance of extra-genomic information in Arabidopsis.	Department of Botany and Plant Pathology; Purdue University; 915 W. State Street; West Lafayette; Indiana 47907-2054; USA.
Jessica M Young	3	Journal Article	15785770	Nature	2005	Genome-wide non-mendelian inheritance of extra-genomic information in Arabidopsis.	Department of Botany and Plant Pathology; Purdue University; 915 W. State Street; West Lafayette; Indiana 47907-2054; USA.
Robert E Pruitt	Corresponding	Journal Article	15785770	Nature	2005	Genome-wide non-mendelian inheritance of extra-genomic information in Arabidopsis.	Department of Botany and Plant Pathology; Purdue University; 915 W. State Street; West Lafayette; Indiana 47907-2054; USA.
