2009 Dec 24,139(7),Leading Edge,,In This Issue,http://www.cell.com/cell/fulltext/S0092-8674(09)01568-2
2009 Dec 24,139(7),Analysis,Laura Vargas-Parada,H1N1: A Mexican Perspective,http://www.cell.com/cell/fulltext/S0092-8674(09)01566-9
2009 Dec 24,139(7),Analysis,Karen Dente,Overhaul or Overload for French Science?,http://www.cell.com/cell/fulltext/S0092-8674(09)01551-7
2009 Dec 24,139(7),Commentary,Martin Raff,New Routes into the Human Brain,http://www.cell.com/cell/fulltext/S0092-8674(09)01557-8
2009 Dec 24,139(7),Commentary,Solomon H. Snyder,Molecules of Madness,http://www.cell.com/cell/fulltext/S0092-8674(09)01567-0
2009 Dec 24,139(7),Correspondence,Christophe Lavelle; Pierre Recouvreux; Hua Wong; Aurélien Bancaud; Jean-Louis Viovy; Ariel Prunell; Jean-Marc Victor,Right-Handed Nucleosome: Myth or Reality?,http://www.cell.com/cell/fulltext/S0092-8674(09)01561-X
2009 Dec 24,139(7),Correspondence,Takehito Furuyama; Steven Henikoff,Response: Right-Handed Half-Nucleosomes at Centromeres,http://www.cell.com/cell/fulltext/S0092-8674(09)01562-1
2009 Dec 24,139(7),Book Review,Zoltan Fehervari,Microbes Go Manga,http://www.cell.com/cell/fulltext/S0092-8674(09)01552-9
2009 Dec 24,139(7),Preview,Galina Selivanova; Johanna Ivaska,Integrins and Mutant p53 on the Road to Metastasis,http://www.cell.com/cell/fulltext/S0092-8674(09)01563-3
2009 Dec 24,139(7),Preview,George-Lucian Moldovan; Alan D. D'Andrea,FANCD2 Hurdles the DNA Interstrand Crosslink,http://www.cell.com/cell/fulltext/S0092-8674(09)01553-0
2009 Dec 24,139(7),Preview,Michael Bandell; Ardem Patapoutian,Itching for Insight,http://www.cell.com/cell/fulltext/S0092-8674(09)01559-1
2009 Dec 24,139(7),Preview,Cheuk T. Leung; Joan S. Brugge,Tumor Self-Seeding: Bidirectional Flow of Tumor Cells,http://www.cell.com/cell/fulltext/S0092-8674(09)01560-8
2009 Dec 24,139(7),Review,James W. Dennis; Ivan R. Nabi; Michael Demetriou,Metabolism, Cell Surface Organization, and Disease,http://www.cell.com/cell/fulltext/S0092-8674(09)01555-4
2009 Dec 24,139(7),Article,Abraham L. Brass; I-Chueh Huang; Yair Benita; Sinu P. John; Manoj N. Krishnan; Eric M. Feeley; Bethany J. Ryan; Jessica L. Weyer; Louise van der Weyden; Erol Fikrig; David J. Adams; Ramnik J. Xavier; Michael Farzan; Stephen J. Elledge,The IFITM Proteins Mediate Cellular Resistance to Influenza A H1N1 Virus, West Nile Virus, and Dengue Virus,http://www.cell.com/cell/fulltext/S0092-8674(09)01564-5
2009 Dec 24,139(7),Article,Sagi D. Shapira; Irit Gat-Viks; Bennett O.V. Shum; Amelie Dricot; Marciela M. de Grace; Liguo Wu; Piyush B. Gupta; Tong Hao; Serena J. Silver; David E. Root; David E. Hill; Aviv Regev; Nir Hacohen,A Physical and Regulatory Map of Host-Influenza Interactions Reveals Pathways in H1N1 Infection,http://www.cell.com/cell/fulltext/S0092-8674(09)01565-7
2009 Dec 24,139(7),Article,Luciano A. Moreira; Iñaki Iturbe-Ormaetxe; Jason A. Jeffery; Guangjin Lu; Alyssa T. Pyke; Lauren M. Hedges; Bruno C. Rocha; Sonja Hall-Mendelin; Andrew Day; Markus Riegler; Leon E. Hugo; Karyn N. Johnson; Brian H. Kay; Elizabeth A. McGraw; Andrew F. van den Hurk; Peter A. Ryan; Scott L. O'Neill,A <em>Wolbachia</em> Symbiont in <em>Aedes aegypti</em> Limits Infection with Dengue, Chikungunya, and <em>Plasmodium</em>,http://www.cell.com/cell/fulltext/S0092-8674(09)01500-1
2009 Dec 24,139(7),Article,Feng Wang; Wei Yang,Structural Insight into Translesion Synthesis by DNA Pol II,http://www.cell.com/cell/fulltext/S0092-8674(09)01501-3
2009 Dec 24,139(7),Article,Jamy C. Peng; Anton Valouev; Tomek Swigut; Junmei Zhang; Yingming Zhao; Arend Sidow; Joanna Wysocka,Jarid2/Jumonji Coordinates Control of PRC2 Enzymatic Activity and Target Gene Occupancy in Pluripotent Cells,http://www.cell.com/cell/fulltext/S0092-8674(09)01506-2
2009 Dec 24,139(7),Article,Xiaohua Shen; Woojin Kim; Yuko Fujiwara; Matthew D. Simon; Yingchun Liu; Matthew R. Mysliwiec; Guo-Cheng Yuan; Youngsook Lee; Stuart H. Orkin,Jumonji Modulates Polycomb Activity and Self-Renewal versus Differentiation of Stem Cells,http://www.cell.com/cell/fulltext/S0092-8674(09)01507-4
2009 Dec 24,139(7),Article,Mi-Young Kim; Thordur Oskarsson; Swarnali Acharyya; Don X. Nguyen; Xiang H.-F. Zhang; Larry Norton; Joan Massagué,Tumor Self-Seeding by Circulating Cancer Cells,http://www.cell.com/cell/fulltext/S0092-8674(09)01437-8
2009 Dec 24,139(7),Article,Patricia A.J. Muller; Patrick T. Caswell; Brendan Doyle; Marcin P. Iwanicki; Ee H. Tan; Saadia Karim; Natalia Lukashchuk; David A. Gillespie; Robert L. Ludwig; Pauline Gosselin; Anne Cromer; Joan S. Brugge; Owen J. Sansom; Jim C. Norman; Karen H. Vousden,Mutant p53 Drives Invasion by Promoting Integrin Recycling,http://www.cell.com/cell/fulltext/S0092-8674(09)01438-X
2009 Dec 24,139(7),Article,Harry H. Low; Carsten Sachse; Linda A. Amos; Jan Löwe,Structure of a Bacterial Dynamin-like Protein Lipid Tube Provides a Mechanism For Assembly and Membrane Curving,http://www.cell.com/cell/fulltext/S0092-8674(09)01376-2
2009 Dec 24,139(7),Article,Qin Liu; Zongxiang Tang; Lenka Surdenikova; Seungil Kim; Kush N. Patel; Andrew Kim; Fei Ru; Yun Guan; Hao-Jui Weng; Yixun Geng; Bradley J. Undem; Marian Kollarik; Zhou-Feng Chen; David J. Anderson; Xinzhong Dong,Sensory Neuron-Specific GPCR Mrgprs Are Itch Receptors Mediating Chloroquine-Induced Pruritus,http://www.cell.com/cell/fulltext/S0092-8674(09)01492-5
2009 Dec 24,139(7),Theory,Stefan Klumpp; Zhongge Zhang; Terence Hwa,Growth Rate-Dependent Global Effects on Gene Expression in Bacteria,http://www.cell.com/cell/fulltext/S0092-8674(09)01505-0
2009 Dec 11,139(6),Leading Edge,,In This Issue,http://www.cell.com/cell/fulltext/S0092-8674(09)01502-5
2009 Dec 11,139(6),Analysis,Sascha Karberg,Switching on Epigenetic Therapy,http://www.cell.com/cell/fulltext/S0092-8674(09)01496-2
2009 Dec 11,139(6),Commentary,Amy Zarzeczny; Christopher Scott; Insoo Hyun; Jami Bennett; Jennifer Chandler; Sophie Chargé; Heather Heine; Rosario Isasi; Kazuto Kato; Robin Lovell-Badge; Kelly McNagny; Duanqing Pei; Janet Rossant; Azim Surani; Patrick L. Taylor; Ubaka Ogbogu; Timothy Caulfield,iPS Cells: Mapping the Policy Issues,http://www.cell.com/cell/fulltext/S0092-8674(09)01497-4
2009 Dec 11,139(6),BenchMarks,Virginia A. Zakian,The Ends Have Arrived,http://www.cell.com/cell/fulltext/S0092-8674(09)01491-3
2009 Dec 11,139(6),BenchMarks,James R. Williamson,The Ribosome at Atomic Resolution,http://www.cell.com/cell/fulltext/S0092-8674(09)01453-6
2009 Dec 11,139(6),Book Review,Fanxin Long,Bone Appétit!,http://www.cell.com/cell/fulltext/S0092-8674(09)01490-1
2009 Dec 11,139(6),Preview,Stephan Mathas; Tom Misteli,The Dangers of Transcription,http://www.cell.com/cell/fulltext/S0092-8674(09)01495-0
2009 Dec 11,139(6),Preview,David D. Boehr,During Transitions Proteins Make Fleeting Bonds,http://www.cell.com/cell/fulltext/S0092-8674(09)01489-5
2009 Dec 11,139(6),Preview,Andrew Sinclair; Craig Smith,Females Battle to Suppress Their Inner Male,http://www.cell.com/cell/fulltext/S0092-8674(09)01494-9
